WorkOrder_ID,Equipment_ID,Engineer,Issue_Description,Resolution_Notes,Parts_Consumed,Date_Completed,Linked_Documents,Status,Priority
WO-2026-031,B-304,Mike Jones,Safety valve weeping,Replaced safety relief valve.,SRV-304,2026-07-31,,Closed,High
WO-2026-032,CNC-601,Sarah Lee,Z-axis overtravel,Replaced limit switch.,SW-601,2026-08-01,ENG-MAN-CNC601-SIEMENS-001.pdf,Closed,Medium
WO-2026-033,P-105,John Doe,Motor tripped on overload,Replaced overload relay.,RLY-105,2026-08-02,,Closed,High
WO-2026-034,C-205,Jane Smith,Oil filter bypass,Replaced oil filter.,FLT-205,2026-08-03,,Closed,Low
WO-2026-035,M-502,Mike Jones,Loose terminal connection,Retorqued connections.,,2026-08-04,ENG-MAN-M502-SCHNEIDER-001.pdf,Closed,Medium
WO-2026-036,V-404,Sarah Lee,Positioner hunting,Calibrated smart positioner.,,2026-08-05,,Closed,Medium
WO-2026-037,RBT-705,John Doe,Vacuum cup worn,Replaced vacuum suction cups.,CUP-705,2026-08-06,,Closed,Low
WO-2026-038,B-305,Jane Smith,Blowdown valve leak,Replaced blowdown valve seat.,SEAT-305,2026-08-07,,Closed,Medium
WO-2026-039,CNC-602,Mike Jones,Way cover damaged,Replaced telescopic way covers.,COV-602,2026-08-08,ENG-MAN-CNC602-SIEMENS-001.pdf,Closed,Low
WO-2026-040,P-101,Sarah Lee,Coupling insert worn,Replaced jaw coupling insert.,INS-101,2026-08-09,ENG-MAN-P101-ABB-001.pdf,Closed,Medium
WO-2026-041,C-201,John Doe,Drive belt slipping,Tensioned drive belts.,,2026-08-10,ENG-MAN-C201-ATLAS-001.pdf,Closed,Low
WO-2026-042,M-503,Jane Smith,Bearing temp high,Replaced both end bearings.,BRG-503,2026-08-11,,Closed,High
WO-2026-043,V-401,Mike Jones,Gland packing leak,Tightened gland follower.,,2026-08-12,,Closed,Low
WO-2026-044,RBT-701,Sarah Lee,Welding tip degraded,Replaced contact tip.,TIP-701,2026-08-13,,Closed,Medium
WO-2026-045,B-301,John Doe,Feedwater pump failure,Replaced feedwater pump.,PMP-301,2026-08-14,,Closed,High
WO-2026-046,CNC-603,Jane Smith,Monitor screen blank,Replaced HMI display.,HMI-603,2026-08-15,,Closed,High
WO-2026-047,P-103,Mike Jones,Motor soft foot,Shimmed motor base.,,2026-08-16,,Closed,Medium
WO-2026-048,C-202,Sarah Lee,Moisture in air lines,Replaced desiccant in dryer.,DES-202,2026-08-17,ENG-MAN-C202-ATLAS-001.pdf,Closed,Medium
WO-2026-049,M-504,John Doe,Vibration detected,Performed laser alignment.,,2026-08-18,ENG-MAN-M504-ABB-001.pdf,Closed,High
WO-2026-050,V-405,Jane Smith,Failsafe position error,Replaced return spring.,SPR-405,2026-08-19,,Closed,Medium
