Document_ID,File_Name,Extension,Folder,Relative_Path,Absolute_Path,File_Size_Bytes,File_Size_MB,Last_Modified,MIME_Type,Readable,Department,Manufacturer,Category,SHA256,Duplicate
DOC00012,86894.jpg,.jpg,equipment_labels,data\raw\images\equipment_labels\86894.jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\equipment_labels\86894.jpg,7994,0.01,2026-07-11 15:33:06,image/jpeg,True,Operations,Nexus Industrial,OCR Image,a3786339577d0ac3e38e057aacb04278e877f0b0b095bed1cbed0d4169d84fc4,False
DOC00013,images (1).jpg,.jpg,gauges,data\raw\images\gauges\images (1).jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\gauges\images (1).jpg,17286,0.02,2026-07-11 15:46:45,image/jpeg,True,Operations,Nexus Industrial,OCR Image,f59d8bb230e14a3cc90bf0f822b2ad61fb7db935ee0ec9653f357d73abbd0b9b,False
DOC00014,images (2).jpg,.jpg,gauges,data\raw\images\gauges\images (2).jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\gauges\images (2).jpg,19860,0.02,2026-07-11 15:47:09,image/jpeg,True,Operations,Nexus Industrial,OCR Image,5d5fbb3ccd0270785a5e90ec6a6de6d7152fb7acbb4beb62e44a53df7973434e,False
DOC00015,images (3).jpg,.jpg,gauges,data\raw\images\gauges\images (3).jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\gauges\images (3).jpg,18182,0.02,2026-07-11 15:47:54,image/jpeg,True,Operations,Nexus Industrial,OCR Image,a470658826c67f8559b7f95e518dd75640cbd8b066e85bd09ab89337e1bfb629,False
DOC00016,images (4).jpg,.jpg,gauges,data\raw\images\gauges\images (4).jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\gauges\images (4).jpg,64572,0.06,2026-07-11 15:48:18,image/jpeg,True,Operations,Nexus Industrial,OCR Image,b9201dc31a877cf2394aa30e241149cbc57334d02e8f227922eed5d037598f66,False
DOC00017,images (5).jpg,.jpg,gauges,data\raw\images\gauges\images (5).jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\gauges\images (5).jpg,58199,0.06,2026-07-11 15:48:38,image/jpeg,True,Operations,Nexus Industrial,OCR Image,5f1a7b4031ec89fc4414466fcb23d34db456a1a1d4eccfc268211a59ba8da152,False
DOC00018,images.jpg,.jpg,gauges,data\raw\images\gauges\images.jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\gauges\images.jpg,25858,0.02,2026-07-11 15:45:43,image/jpeg,True,Operations,Nexus Industrial,OCR Image,dece6a00e825b2dbf930a58a4bf4d7f1087303965eccdc6dc18cf5bfed366298,False
DOC00019,images (1).jpg,.jpg,inspection_forms,data\raw\images\inspection_forms\images (1).jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\inspection_forms\images (1).jpg,21089,0.02,2026-07-11 15:51:54,image/jpeg,True,Quality,Nexus Industrial,OCR Image,c51300d9486872931430c402f5e8097abfff6eb88184663fdfd73abfb4a72709,False
DOC00020,images (1).png,.png,inspection_forms,data\raw\images\inspection_forms\images (1).png,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\inspection_forms\images (1).png,25994,0.02,2026-07-11 15:52:23,image/png,True,Quality,Nexus Industrial,OCR Image,258525036286392c626288db9fde9b3d6d896c4f99ad554b27881782cbcd81b6,False
DOC00021,images (2).png,.png,inspection_forms,data\raw\images\inspection_forms\images (2).png,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\inspection_forms\images (2).png,7778,0.01,2026-07-11 15:52:37,image/png,True,Quality,Nexus Industrial,OCR Image,2d9572264591b999d32763f306f537b9080e10c10e66b399d2e80a86827c097a,False
DOC00022,images (6).jpg,.jpg,inspection_forms,data\raw\images\inspection_forms\images (6).jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\inspection_forms\images (6).jpg,31210,0.03,2026-07-11 15:49:55,image/jpeg,True,Quality,Nexus Industrial,OCR Image,83cf54aa0f5652ddb40fe0a76a382d1021dbc81703139c2b4643da3820bfc600,False
DOC00023,images.jpg,.jpg,inspection_forms,data\raw\images\inspection_forms\images.jpg,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\inspection_forms\images.jpg,20755,0.02,2026-07-11 15:50:57,image/jpeg,True,Quality,Nexus Industrial,OCR Image,b6a7e84fcb483f75782e3b3293fa48833d23fefd2ac6784895eb3e2f37dbfa1f,False
DOC00024,images.png,.png,inspection_forms,data\raw\images\inspection_forms\images.png,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\images\inspection_forms\images.png,16503,0.02,2026-07-11 15:51:15,image/png,True,Quality,Nexus Industrial,OCR Image,61aed41082b75164c0aaa19d9f197a11ccdf89cceac2e5933070300ee839614a,False
DOC00025,990-5712_InRow RD DX Direct Expansion Air Conditioners Operation Manual_FINAL.pdf,.pdf,maintenance,data\raw\maintenance\990-5712_InRow RD DX Direct Expansion Air Conditioners Operation Manual_FINAL.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\maintenance\990-5712_InRow RD DX Direct Expansion Air Conditioners Operation Manual_FINAL.pdf,931356,0.89,2026-07-11 15:03:01,application/pdf,True,Maintenance,Nexus Industrial,Maintenance Document,543284cde17225ed40c9519390b26a902ade1258806845da3c1f696301e6f2b8,False
DOC00026,GEX2563900EN_PIXStandard.pdf,.pdf,maintenance,data\raw\maintenance\GEX2563900EN_PIXStandard.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\maintenance\GEX2563900EN_PIXStandard.pdf,13938716,13.29,2026-07-11 15:07:08,application/pdf,True,Maintenance,Nexus Industrial,Maintenance Document,546b101b2811883e5a7f9fd1ad8a880fac8adc3f001114e6c40b00356fa26349,False
DOC00027,JYT1925500 EVlink Preventive maintenance guide.pdf,.pdf,maintenance,data\raw\maintenance\JYT1925500 EVlink Preventive maintenance guide.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\maintenance\JYT1925500 EVlink Preventive maintenance guide.pdf,1150518,1.1,2026-07-11 15:04:57,application/pdf,True,Maintenance,Nexus Industrial,Maintenance Document,145899adaf651783d8b188c6cdaa6b74c8d58cdb8f2ce807a370c5a0a5e7edfd,False
DOC00028,MFR5408600 v03.00_Web.pdf,.pdf,maintenance,data\raw\maintenance\MFR5408600 v03.00_Web.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\maintenance\MFR5408600 v03.00_Web.pdf,15497689,14.78,2026-07-11 15:07:28,application/pdf,True,Maintenance,Nexus Industrial,Maintenance Document,293cbdbcd3afa00a9822a44c87f4c0c3b74b983835bac9455c4665e3a9d65d63,False
DOC00029,MNT-MAN-HVAC-001.pdf,.pdf,maintenance,data\raw\maintenance\MNT-MAN-HVAC-001.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\maintenance\MNT-MAN-HVAC-001.pdf,805366,0.77,2026-07-11 15:04:14,application/pdf,True,Maintenance,Nexus Industrial,Maintenance Document,b53ee7f04012e43fe6857c22c2ab9f3b7c596d69c702487079c307c5f5ff3847,False
DOC00030,OnSite Preventive Maintenance_SOW.pdf,.pdf,maintenance,data\raw\maintenance\OnSite Preventive Maintenance_SOW.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\maintenance\OnSite Preventive Maintenance_SOW.pdf,269238,0.26,2026-07-11 15:05:13,application/pdf,True,Maintenance,Nexus Industrial,Maintenance Document,59f89a7a51be3e6be12f2ba2c8b4329742bc6581ff6971125e71e4fbb5e1a875,False
DOC00031,3GZC500930-178_en_B_Quick Start Guide of ABB LV Titanium Variable Speed Motor-6.pdf,.pdf,abb,data\raw\manuals\abb\3GZC500930-178_en_B_Quick Start Guide of ABB LV Titanium Variable Speed Motor-6.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\manuals\abb\3GZC500930-178_en_B_Quick Start Guide of ABB LV Titanium Variable Speed Motor-6.pdf,3876433,3.7,2026-07-11 13:42:00,application/pdf,True,Engineering,ABB,PDF Document,c37c363f5dee9faee093841806721e6f6243850b6f781459a8c89257f89d76d1,True
DOC00032,ACS800_pump_ctrl_appl_prg_FWmanual_REV_D_commenting_enabled-3.pdf,.pdf,abb,data\raw\manuals\abb\ACS800_pump_ctrl_appl_prg_FWmanual_REV_D_commenting_enabled-3.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\manuals\abb\ACS800_pump_ctrl_appl_prg_FWmanual_REV_D_commenting_enabled-3.pdf,2356655,2.25,2026-07-11 13:36:28,application/pdf,True,Engineering,ABB,PDF Document,0a5463610038f90d6b692e7481fd7a9b6d139e4eb566f74a2ff8404c73e136f4,False
DOC00033,EN_ACS800_SPRS_App_Prg_FW_A-4.pdf,.pdf,abb,data\raw\manuals\abb\EN_ACS800_SPRS_App_Prg_FW_A-4.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\manuals\abb\EN_ACS800_SPRS_App_Prg_FW_A-4.pdf,1578919,1.51,2026-07-11 13:36:57,application/pdf,True,Engineering,ABB,PDF Document,8f15b75b69eb5bf47894db9c5ebc73460703070e1245307474b32e9f8c1b7b02,False
DOC00034,EN_ACS880-01_SynRM_SUPPL_C -1.pdf,.pdf,abb,data\raw\manuals\abb\EN_ACS880-01_SynRM_SUPPL_C -1.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\manuals\abb\EN_ACS880-01_SynRM_SUPPL_C -1.pdf,3799144,3.62,2026-07-11 13:28:06,application/pdf,True,Engineering,ABB,PDF Document,5c82f8f2e8883561bda463046caa77b1651a1ea8e2a4283277293fbf68c3c991,False
DOC00035,ENG-MAN-M504-ABB-001.pdf,.pdf,abb,data\raw\manuals\abb\ENG-MAN-M504-ABB-001.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\manuals\abb\ENG-MAN-M504-ABB-001.pdf,3876433,3.7,2026-07-11 13:40:50,application/pdf,True,Engineering,ABB,PDF Document,c37c363f5dee9faee093841806721e6f6243850b6f781459a8c89257f89d76d1,True
DOC00036,ENG-MAN-P101-ABB-001.pdf,.pdf,abb,data\raw\manuals\abb\ENG-MAN-P101-ABB-001.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\manuals\abb\ENG-MAN-P101-ABB-001.pdf,3526835,3.36,2026-07-11 13:35:28,application/pdf,True,Engineering,ABB,PDF Document,28b4a003f46084307cb59ca7b0d0133e8529894a553ac4cba3f8035155915607,False
DOC00037,LVNEMA_Manual_EN_ES_05_2006-7.pdf,.pdf,abb,data\raw\manuals\abb\LVNEMA_Manual_EN_ES_05_2006-7.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\manuals\abb\LVNEMA_Manual_EN_ES_05_2006-7.pdf,1064332,1.02,2026-07-11 13:43:08,application/pdf,True,Engineering,ABB,PDF Document,3052a45f201fe76037ceb3ca78e992cad9ec02b60284144c987e10b1f0ec1c2c,False
DOC00038,2935081743_L.pdf,.pdf,atlas_copco,data\raw\manuals\atlas_copco\2935081743_L.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\manuals\atlas_copco\2935081743_L.pdf,6122246,5.84,2026-07-11 14:38:05,application/pdf,True,Engineering,Atlas Copco,PDF Document,ba1d8b88869553a1ff4dbb20005770adb788552555bb83ab85b390153c0c07d2,False
DOC00039,ENG-MAN-C201-ATLAS-001.pdf,.pdf,atlas_copco,data\raw\manuals\atlas_copco\ENG-MAN-C201-ATLAS-001.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\manuals\atlas_copco\ENG-MAN-C201-ATLAS-001.pdf,3845272,3.67,2026-07-11 14:37:29,application/pdf,True,Engineering,Atlas Copco,PDF Document,2dd22fdfc7c781a365cc61bef4c8fb398877cc218fff562e293fd4111f8cb3be,False
DOC00040,ENG-MAN-C202-ATLAS-001.pdf,.pdf,atlas_copco,data\raw\manuals\atlas_copco\ENG-MAN-C202-ATLAS-001.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\manuals\atlas_copco\ENG-MAN-C202-ATLAS-001.pdf,1746241,1.67,2026-07-11 14:36:38,application/pdf,True,Engineering,Atlas Copco,PDF Document,b7a351fc11fde54f97e6f3e53f97ae9139505baaff1f073760c624f878c7ef61,False
DOC00041,LT-LF-LTB-leaflet-EN.pdf,.pdf,atlas_copco,data\raw\manuals\atlas_copco\LT-LF-LTB-leaflet-EN.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\manuals\atlas_copco\LT-LF-LTB-leaflet-EN.pdf,3871619,3.69,2026-07-11 14:36:48,application/pdf,True,Engineering,Atlas Copco,PDF Document,1fbf0109489c1732ec888dd119c6431f6a04de26da897cfffd4448c981ea6aba,False
DOC00042,ENG-MAN-M501-SCHNEIDER-001.pdf,.pdf,schneider,data\raw\manuals\schneider\ENG-MAN-M501-SCHNEIDER-001.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\manuals\schneider\ENG-MAN-M501-SCHNEIDER-001.pdf,9327318,8.9,2026-07-11 14:28:39,application/pdf,True,Engineering,Schneider Electric,PDF Document,6a4e9d36e91b78fa3e0ca4d599c30a6e1550176311bc3d91c173627c0ba8cd0f,False
DOC00043,ENG-MAN-M502-SCHNEIDER-001.pdf,.pdf,schneider,data\raw\manuals\schneider\ENG-MAN-M502-SCHNEIDER-001.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\manuals\schneider\ENG-MAN-M502-SCHNEIDER-001.pdf,20410342,19.46,2026-07-11 14:27:44,application/pdf,True,Engineering,Schneider Electric,PDF Document,b612b0a75439afd655f33cc98c8cfc24de5f86d314b024128a57529e92a10681,False
DOC00044,M241-UserGuide-EN-EIO0000004267-05.pdf,.pdf,schneider,data\raw\manuals\schneider\M241-UserGuide-EN-EIO0000004267-05.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\manuals\schneider\M241-UserGuide-EN-EIO0000004267-05.pdf,28319147,27.01,2026-07-11 14:26:16,application/pdf,True,Engineering,Schneider Electric,PDF Document,ebe0f589511534d41211a6c02c922e008082aa37ecebf2dd0dd8805778f13749,False
DOC00045,P3U_en_M_J006_ANSI_web (1).pdf,.pdf,schneider,data\raw\manuals\schneider\P3U_en_M_J006_ANSI_web (1).pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\manuals\schneider\P3U_en_M_J006_ANSI_web (1).pdf,8554057,8.16,2026-07-11 14:29:06,application/pdf,True,Engineering,Schneider Electric,PDF Document,41c96d8c910b7e30cc66ba3ccb481eb5c0e4bb213da4d7180c4916a724565977,True
DOC00046,P3U_en_M_J006_ANSI_web.pdf,.pdf,schneider,data\raw\manuals\schneider\P3U_en_M_J006_ANSI_web.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\manuals\schneider\P3U_en_M_J006_ANSI_web.pdf,8554057,8.16,2026-07-11 14:27:08,application/pdf,True,Engineering,Schneider Electric,PDF Document,41c96d8c910b7e30cc66ba3ccb481eb5c0e4bb213da4d7180c4916a724565977,True
DOC00047,ENG-MAN-CNC601-SIEMENS-001.pdf,.pdf,siemens,data\raw\manuals\siemens\ENG-MAN-CNC601-SIEMENS-001.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\manuals\siemens\ENG-MAN-CNC601-SIEMENS-001.pdf,26403614,25.18,2026-07-11 14:22:52,application/pdf,True,Engineering,Siemens,PDF Document,eca7156ed3429dbe3240987b7b3d5ff4ff55dfc3d43b71dc7bbfb07b36006398,False
DOC00048,ENG-MAN-CNC602-SIEMENS-001.pdf,.pdf,siemens,data\raw\manuals\siemens\ENG-MAN-CNC602-SIEMENS-001.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\manuals\siemens\ENG-MAN-CNC602-SIEMENS-001.pdf,255563305,243.72,2026-07-11 14:23:53,application/pdf,True,Engineering,Siemens,PDF Document,20ec97056d7aa9aae56d3e2d6f1eaec6b3aa6bce407fd09a7e07ce9f1d8683d3,False
DOC00049,BBFACT01.pdf,.pdf,safety_and_regulations,data\raw\safety_and_regulations\BBFACT01.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\safety_and_regulations\BBFACT01.pdf,375674,0.36,2026-07-11 14:42:57,application/pdf,True,Safety,Nexus Industrial,Safety SOP,f2937c87335625ee748048b949fe62a54d4c8582dccdd22562c3271913e914af,False
DOC00050,EHS-SOP-CONFINED-002.pdf,.pdf,safety_and_regulations,data\raw\safety_and_regulations\EHS-SOP-CONFINED-002.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\safety_and_regulations\EHS-SOP-CONFINED-002.pdf,1950704,1.86,2026-07-11 14:47:11,application/pdf,True,Safety,Nexus Industrial,Safety SOP,0255c8435a96d7074affdccebb5fcbe7b6e43d28e306541751d8a681eb11c375,False
DOC00051,EHS-SOP-LOTO-001.pdf,.pdf,safety_and_regulations,data\raw\safety_and_regulations\EHS-SOP-LOTO-001.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\safety_and_regulations\EHS-SOP-LOTO-001.pdf,39474,0.04,2026-07-11 14:49:49,application/pdf,True,Safety,Nexus Industrial,Safety SOP,1da08f61807b1c85b4f6da7a1b427f4bcc29b0493014aa21e85132b3d2a0299f,False
DOC00052,OIL_SPILL_BOOKLET_05-11_V4.pdf,.pdf,safety_and_regulations,data\raw\safety_and_regulations\OIL_SPILL_BOOKLET_05-11_V4.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\safety_and_regulations\OIL_SPILL_BOOKLET_05-11_V4.pdf,5520058,5.26,2026-07-11 14:49:01,application/pdf,True,Safety,Nexus Industrial,Safety SOP,92ab4f8f26bdbaa90df6e2f299cb9f239f4da7ecf57e70178b2c32129ced6a18,False
DOC00053,OSHA3914.pdf,.pdf,safety_and_regulations,data\raw\safety_and_regulations\OSHA3914.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\safety_and_regulations\OSHA3914.pdf,173211,0.17,2026-07-11 14:44:37,application/pdf,True,Safety,Nexus Industrial,Safety SOP,1b1434ae52d0a327e9fbe0eca964cc37cdab63b26215a60f72dc0e6109e288de,False
DOC00054,OSHA3942.pdf,.pdf,safety_and_regulations,data\raw\safety_and_regulations\OSHA3942.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\safety_and_regulations\OSHA3942.pdf,549237,0.52,2026-07-11 14:50:05,application/pdf,True,Safety,Nexus Industrial,Safety SOP,8c89fafdfc78973cec953d3e15c1058c2f5291896d700333afcf5c6770a02867,False
DOC00055,OSHA4472.pdf,.pdf,safety_and_regulations,data\raw\safety_and_regulations\OSHA4472.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\safety_and_regulations\OSHA4472.pdf,1531917,1.46,2026-07-11 14:43:12,application/pdf,True,Safety,Nexus Industrial,Safety SOP,777ce495ba4c872c54342da8ef345a67335a4a9baf31b7a2e5bbe46bfee623c3,False
DOC00056,OSHA4473.pdf,.pdf,safety_and_regulations,data\raw\safety_and_regulations\OSHA4473.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\safety_and_regulations\OSHA4473.pdf,96088,0.09,2026-07-11 14:50:33,application/pdf,True,Safety,Nexus Industrial,Safety SOP,84f87c20b760a7129cb30cf6c2ff1f2164dc11ae8006a2ef1e1b34b1abebcad5,False
DOC00057,OSHA_3494.pdf,.pdf,safety_and_regulations,data\raw\safety_and_regulations\OSHA_3494.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\safety_and_regulations\OSHA_3494.pdf,843113,0.8,2026-07-11 14:46:26,application/pdf,True,Safety,Nexus Industrial,Safety SOP,e6c960b17c8c6ac0f25f00ba5c035a81f15deac15050860009ed4babf0de5eed,False
DOC00058,OSHA_FF-4278.pdf,.pdf,safety_and_regulations,data\raw\safety_and_regulations\OSHA_FF-4278.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\safety_and_regulations\OSHA_FF-4278.pdf,266018,0.25,2026-07-11 14:43:48,application/pdf,True,Safety,Nexus Industrial,Safety SOP,df9f1950bd6af3ac3a068acbb964e506efc3491266415771ca0525eba16fed28,False
DOC00059,OSHA_FS-4169.pdf,.pdf,safety_and_regulations,data\raw\safety_and_regulations\OSHA_FS-4169.pdf,C:\Users\LENOVO\OneDrive\Desktop\Hackathon_pro\data\raw\safety_and_regulations\OSHA_FS-4169.pdf,369943,0.35,2026-07-11 14:46:40,application/pdf,True,Safety,Nexus Industrial,Safety SOP,c85a13d672f960cfa773a1f89b9549ef7073875e14e9e305eeaa660ab5796299,False
